0.082316	0.080433	0.078492	0.076634	0.074638	0.072570	0.070492	0.068376	0.066232	0.064046	0.061779	0.059523	0.057102	0.054688	0.052263	0.049771	0.047160	0.044489	0.041817	0.039046	0.036219	0.033289	0.030240	0.027244	0.024095	0.020876	0.017529	0.014150	0.010642	0.007038	0.003368	-0.000406	-0.004333	-0.008269	-0.012277	-0.016476	-0.020708	-0.025035	-0.029426	-0.033898	-0.038471	-0.043095	-0.047817	-0.053003	-0.057285	-0.062091	-0.066850	-0.071635	-0.076498	-0.081277	-0.086048	-0.090712	-0.095317	-0.099777	-0.104188	-0.108511	-0.112664	-0.116696	-0.120468	-0.124072	-0.127411	-0.130629	-0.133621	-0.136306	-0.138831	-0.141032	-0.143000	-0.144718	-0.146145	-0.147347	-0.148282	-0.148960	-0.149387	-0.149605	-0.149548	-0.149258	-0.148734	-0.148081	-0.147218	-0.146105	-0.144903	-0.143508	-0.141968	-0.140322	-0.138508	-0.136605	-0.134629	-0.132540	-0.130411	-0.128185	-0.125903	-0.123548	-0.121250	-0.118806	-0.116403	-0.113927	-0.111500	-0.109040	-0.106572	-0.104145	-0.101685	-0.099266	-0.096839	-0.094468	-0.092121	-0.089806	-0.087492	-0.085177	-0.082968	-0.080758	-0.078072	-0.076516	-0.074395	-0.072355	-0.070314	-0.068371	-0.066451	-0.064540	-0.062677	-0.060903	-0.059129	-0.057379	-0.055879	-0.054072	-0.052524	-0.050927	-0.049419	-0.047911	-0.046540
0.085738	0.083844	0.081879	0.079828	0.077833	0.075691	0.073602	0.071425	0.069157	0.066852	0.064497	0.062171	0.059763	0.057237	0.054715	0.052094	0.049427	0.046691	0.043946	0.041054	0.038130	0.035112	0.032046	0.028881	0.025611	0.022296	0.018820	0.015304	0.011699	0.007965	0.004126	0.000255	-0.003793	-0.008358	-0.012132	-0.016478	-0.020858	-0.025398	-0.029998	-0.034721	-0.039479	-0.044295	-0.049253	-0.054325	-0.059268	-0.064301	-0.069382	-0.074497	-0.079511	-0.084624	-0.089661	-0.094672	-0.099487	-0.104350	-0.109051	-0.113616	-0.118035	-0.122605	-0.126250	-0.130153	-0.133798	-0.137153	-0.140306	-0.143153	-0.145742	-0.148121	-0.150185	-0.151976	-0.153443	-0.154701	-0.155653	-0.156306	-0.156710	-0.156831	-0.156718	-0.156411	-0.155831	-0.155016	-0.154072	-0.152847	-0.151476	-0.149960	-0.148306	-0.146492	-0.144524	-0.142492	-0.140322	-0.138097	-0.135766	-0.133379	-0.130960	-0.128451	-0.125951	-0.123371	-0.121492	-0.118250	-0.115645	-0.113024	-0.110443	-0.107879	-0.105306	-0.102758	-0.100266	-0.097726	-0.095266	-0.092814	-0.090427	-0.088032	-0.085661	-0.083371	-0.081097	-0.078911	-0.076710	-0.074581	-0.072500	-0.070492	-0.068468	-0.066500	-0.064572	-0.062669	-0.060911	-0.059056	-0.057556	-0.055637	-0.053943	-0.052395	-0.050774	-0.049322	-0.047782
0.089425	0.087255	0.085305	0.083189	0.081068	0.078841	0.076702	0.074417	0.072060	0.069691	0.067300	0.064884	0.062360	0.059798	0.057215	0.054545	0.051549	0.048973	0.046116	0.043191	0.040130	0.037071	0.033796	0.030574	0.027216	0.023824	0.020288	0.016629	0.012876	0.008981	0.005054	0.000965	-0.003198	-0.007954	-0.011801	-0.016349	-0.020938	-0.025672	-0.030466	-0.035358	-0.040414	-0.045462	-0.050664	-0.055874	-0.061231	-0.066551	-0.071914	-0.077299	-0.082712	-0.088067	-0.093379	-0.098712	-0.103882	-0.109551	-0.114027	-0.118801	-0.123503	-0.128508	-0.132363	-0.136419	-0.140250	-0.143855	-0.147193	-0.150234	-0.153016	-0.155476	-0.157693	-0.159476	-0.161056	-0.162322	-0.163266	-0.163919	-0.164314	-0.164371	-0.164201	-0.163750	-0.163121	-0.162193	-0.161089	-0.159742	-0.158282	-0.156589	-0.154774	-0.152782	-0.150653	-0.148443	-0.146137	-0.143710	-0.141210	-0.138701	-0.136081	-0.133411	-0.130750	-0.128032	-0.125314	-0.122572	-0.119790	-0.117081	-0.114331	-0.111613	-0.108887	-0.106218	-0.103564	-0.100943	-0.098355	-0.095798	-0.093290	-0.090790	-0.088355	-0.085935	-0.083597	-0.081274	-0.079032	-0.076822	-0.074613	-0.072524	-0.070435	-0.068427	-0.066435	-0.064476	-0.062613	-0.060718	-0.058911	-0.057185	-0.055500	-0.053782	-0.052177	-0.050621	-0.049064
0.092857	0.090812	0.088764	0.086542	0.084384	0.082056	0.079739	0.077481	0.075076	0.072667	0.070130	0.067642	0.065013	0.062444	0.059691	0.056989	0.054201	0.051288	0.048374	0.045344	0.042243	0.039071	0.035732	0.032453	0.029030	0.025485	0.021812	0.018049	0.014207	0.010247	0.006134	0.001981	-0.002377	-0.007245	-0.011374	-0.016087	-0.020898	-0.025817	-0.030797	-0.036011	-0.041180	-0.046577	-0.051954	-0.057495	-0.063105	-0.068737	-0.074438	-0.080105	-0.085858	-0.091519	-0.097151	-0.102850	-0.108350	-0.113696	-0.119100	-0.124277	-0.129221	-0.134476	-0.138637	-0.142927	-0.147032	-0.150895	-0.154419	-0.157669	-0.160589	-0.163177	-0.165411	-0.167339	-0.169016	-0.170266	-0.171201	-0.171822	-0.172169	-0.172177	-0.171960	-0.171331	-0.170613	-0.169605	-0.168322	-0.166863	-0.165210	-0.163331	-0.161339	-0.159185	-0.156919	-0.154516	-0.152024	-0.149387	-0.146726	-0.143984	-0.141218	-0.138411	-0.135524	-0.132710	-0.129766	-0.126879	-0.123951	-0.121089	-0.118185	-0.115339	-0.112468	-0.109645	-0.106847	-0.104169	-0.101403	-0.098766	-0.096105	-0.093540	-0.091016	-0.088492	-0.086282	-0.083613	-0.081234	-0.078960	-0.076710	-0.074516	-0.072395	-0.070234	-0.068201	-0.066185	-0.064242	-0.062322	-0.060460	-0.058661	-0.056903	-0.055193	-0.053548	-0.051855	-0.050314
0.096610	0.094378	0.092215	0.089928	0.087659	0.085306	0.082949	0.080546	0.078073	0.075521	0.073005	0.070441	0.067771	0.065078	0.062376	0.059546	0.056685	0.053707	0.050696	0.047659	0.044448	0.041192	0.037836	0.034462	0.030937	0.027251	0.023489	0.019589	0.015634	0.011562	0.007368	0.002973	-0.001506	-0.006567	-0.010858	-0.015756	-0.020729	-0.025809	-0.031042	-0.036479	-0.041906	-0.047531	-0.053245	-0.059059	-0.064919	-0.070882	-0.076898	-0.082879	-0.088971	-0.095019	-0.101013	-0.106979	-0.112971	-0.118624	-0.124358	-0.129833	-0.135164	-0.140750	-0.145137	-0.149774	-0.154105	-0.158201	-0.161927	-0.165355	-0.168411	-0.171137	-0.173508	-0.175556	-0.177201	-0.178500	-0.179443	-0.180048	-0.180250	-0.180298	-0.179951	-0.179258	-0.178363	-0.177218	-0.175798	-0.174185	-0.172266	-0.170258	-0.168064	-0.165726	-0.163242	-0.160653	-0.157968	-0.155201	-0.152339	-0.149419	-0.146403	-0.143395	-0.140451	-0.137322	-0.134282	-0.131218	-0.128145	-0.125064	-0.122056	-0.119056	-0.116064	-0.113097	-0.110161	-0.107298	-0.104419	-0.101701	-0.098943	-0.096169	-0.093564	-0.090976	-0.088427	-0.085927	-0.083500	-0.081032	-0.078750	-0.076460	-0.074210	-0.072056	-0.069911	-0.067863	-0.065855	-0.063887	-0.061951	-0.060064	-0.058266	-0.056556	-0.054742	-0.053089	-0.051516
0.100180	0.097910	0.095715	0.093364	0.090989	0.088629	0.086159	0.083662	0.081118	0.078602	0.076473	0.073320	0.070573	0.067828	0.064997	0.062183	0.059249	0.056223	0.053100	0.050005	0.046771	0.043478	0.040014	0.036453	0.032865	0.029102	0.025247	0.021294	0.017183	0.012997	0.008642	0.004159	-0.000457	-0.005253	-0.010163	-0.015164	-0.020374	-0.025696	-0.031155	-0.036777	-0.043100	-0.048418	-0.054358	-0.060487	-0.066701	-0.072946	-0.079309	-0.085686	-0.092100	-0.098495	-0.104933	-0.111212	-0.117471	-0.123704	-0.129688	-0.135575	-0.141221	-0.146745	-0.151927	-0.156831	-0.161508	-0.165790	-0.169806	-0.173395	-0.176661	-0.179524	-0.181960	-0.184072	-0.185814	-0.187105	-0.188081	-0.188589	-0.188806	-0.188621	-0.188177	-0.187468	-0.186379	-0.185048	-0.183419	-0.181669	-0.179605	-0.177371	-0.175008	-0.172435	-0.169750	-0.166919	-0.164032	-0.161040	-0.157960	-0.154822	-0.151693	-0.148451	-0.145210	-0.142000	-0.138734	-0.135500	-0.132314	-0.129048	-0.125871	-0.122710	-0.119548	-0.116468	-0.113451	-0.110395	-0.107427	-0.104508	-0.101645	-0.098879	-0.096089	-0.093435	-0.090726	-0.088121	-0.085637	-0.083121	-0.080750	-0.078363	-0.076064	-0.073798	-0.071605	-0.069508	-0.067387	-0.065347	-0.063395	-0.061476	-0.059605	-0.057790	-0.055976	-0.054331	-0.052605
0.104021	0.101603	0.099215	0.096839	0.094414	0.091957	0.089449	0.086883	0.084247	0.081667	0.078981	0.076239	0.073461	0.070683	0.067739	0.064852	0.061846	0.058812	0.055196	0.052239	0.049343	0.045526	0.042029	0.038695	0.034994	0.031159	0.027199	0.023116	0.018884	0.014610	0.010134	0.005489	0.000712	-0.004261	-0.009292	-0.014575	-0.019841	-0.025366	-0.031119	-0.036987	-0.043664	-0.049132	-0.055438	-0.061837	-0.068350	-0.075116	-0.081696	-0.088420	-0.095285	-0.102051	-0.108836	-0.115551	-0.122212	-0.128785	-0.135229	-0.141495	-0.147583	-0.153390	-0.159476	-0.164234	-0.169153	-0.173734	-0.177935	-0.181806	-0.185258	-0.188226	-0.190839	-0.193911	-0.194710	-0.196097	-0.197024	-0.197484	-0.197669	-0.197355	-0.196831	-0.195839	-0.194653	-0.193137	-0.191306	-0.189322	-0.187097	-0.184621	-0.182032	-0.179282	-0.176331	-0.173282	-0.170153	-0.166951	-0.163661	-0.160363	-0.156984	-0.153572	-0.150097	-0.146677	-0.143234	-0.139806	-0.136419	-0.132984	-0.129685	-0.126322	-0.123056	-0.119836	-0.116613	-0.113435	-0.110379	-0.107347	-0.104371	-0.101169	-0.098331	-0.095742	-0.093016	-0.090322	-0.087710	-0.085121	-0.082629	-0.080226	-0.077822	-0.075524	-0.073250	-0.070895	-0.068766	-0.066822	-0.064782	-0.062814	-0.060879	-0.058976	-0.057193	-0.055427	-0.053710
0.107685	0.105297	0.102884	0.100396	0.097887	0.095288	0.092739	0.090143	0.087433	0.084812	0.082009	0.079231	0.076406	0.073465	0.070610	0.067610	0.064556	0.061473	0.058277	0.055005	0.051666	0.048247	0.044675	0.040987	0.037231	0.033284	0.029215	0.025081	0.021029	0.016360	0.011731	0.006981	0.002067	-0.003075	-0.008247	-0.013672	-0.019285	-0.025058	-0.030982	-0.037059	-0.043366	-0.049721	-0.056325	-0.063054	-0.069930	-0.076930	-0.083971	-0.091156	-0.098341	-0.105608	-0.112796	-0.120003	-0.127083	-0.134091	-0.140979	-0.147680	-0.154132	-0.160341	-0.166847	-0.171927	-0.177169	-0.182927	-0.186516	-0.190613	-0.194226	-0.197403	-0.200121	-0.202363	-0.204193	-0.205443	-0.206274	-0.206831	-0.206782	-0.206419	-0.205750	-0.204710	-0.203234	-0.201516	-0.199508	-0.196201	-0.194460	-0.192097	-0.189226	-0.186218	-0.182965	-0.179460	-0.176379	-0.172951	-0.169451	-0.165282	-0.162234	-0.158137	-0.155008	-0.151322	-0.147556	-0.144137	-0.140524	-0.136871	-0.133419	-0.129927	-0.126492	-0.123113	-0.119774	-0.116451	-0.113266	-0.110097	-0.106997	-0.104008	-0.101000	-0.098089	-0.095242	-0.092484	-0.089734	-0.087089	-0.084500	-0.082000	-0.079540	-0.077129	-0.074831	-0.072524	-0.070331	-0.068185	-0.066089	-0.064072	-0.062105	-0.060210	-0.058322	-0.056516	-0.054750
0.112804	0.108999	0.106521	0.103977	0.101344	0.098707	0.096113	0.093320	0.090683	0.087864	0.085094	0.082231	0.079317	0.076409	0.073465	0.070433	0.067322	0.064223	0.061003	0.057650	0.054238	0.050707	0.047102	0.043334	0.039521	0.035554	0.031409	0.027191	0.022788	0.018150	0.013433	0.008626	0.003540	-0.001648	-0.007122	-0.012721	-0.018438	-0.024381	-0.030551	-0.036954	-0.043475	-0.050196	-0.057091	-0.064159	-0.071350	-0.078721	-0.086216	-0.093807	-0.101414	-0.109100	-0.116325	-0.124446	-0.132825	-0.139527	-0.146890	-0.154027	-0.160954	-0.167624	-0.174460	-0.180008	-0.185572	-0.190806	-0.195597	-0.199887	-0.203677	-0.207040	-0.209879	-0.212193	-0.214032	-0.215331	-0.216129	-0.216540	-0.216468	-0.215943	-0.215024	-0.213766	-0.212105	-0.210161	-0.207911	-0.205395	-0.202669	-0.199669	-0.196581	-0.193306	-0.189871	-0.186363	-0.182718	-0.179000	-0.175266	-0.171435	-0.167589	-0.163701	-0.159855	-0.156879	-0.152185	-0.148379	-0.144589	-0.140839	-0.137129	-0.133500	-0.129879	-0.126685	-0.123169	-0.119419	-0.116081	-0.112782	-0.109581	-0.106443	-0.103363	-0.100322	-0.097363	-0.094548	-0.091710	-0.089000	-0.086331	-0.083734	-0.081193	-0.078734	-0.076355	-0.073984	-0.071726	-0.069548	-0.067403	-0.065653	-0.063258	-0.061290	-0.059387	-0.057548	-0.055718
0.115384	0.112829	0.110199	0.107614	0.104965	0.102191	0.099439	0.096667	0.093884	0.091030	0.088150	0.085288	0.082371	0.079433	0.076408	0.073296	0.070169	0.067021	0.063842	0.060384	0.056964	0.053400	0.049739	0.045913	0.042041	0.037933	0.033731	0.029425	0.024892	0.020282	0.015441	0.010400	0.005234	-0.000156	-0.005761	-0.011438	-0.017410	-0.023659	-0.030003	-0.037390	-0.043455	-0.050414	-0.057672	-0.065087	-0.072688	-0.080462	-0.088385	-0.096347	-0.104454	-0.112648	-0.120852	-0.128914	-0.137116	-0.145091	-0.152946	-0.160583	-0.168059	-0.175145	-0.181951	-0.188379	-0.194322	-0.199960	-0.204976	-0.209645	-0.213677	-0.217169	-0.220121	-0.222476	-0.224290	-0.225524	-0.226290	-0.226669	-0.226492	-0.225766	-0.224693	-0.223145	-0.221298	-0.219072	-0.216605	-0.213758	-0.210774	-0.207524	-0.204105	-0.200500	-0.196839	-0.192951	-0.189056	-0.185161	-0.181056	-0.176984	-0.172919	-0.168806	-0.164710	-0.161008	-0.156589	-0.152556	-0.148629	-0.144661	-0.140798	-0.136984	-0.133250	-0.129524	-0.125887	-0.122339	-0.118855	-0.115406	-0.112081	-0.108839	-0.105613	-0.102540	-0.099201	-0.096524	-0.093621	-0.090798	-0.088024	-0.085379	-0.082750	-0.080258	-0.077798	-0.075395	-0.073064	-0.070798	-0.068613	-0.066460	-0.064379	-0.062379	-0.060411	-0.058718	-0.056653
